X	0	0	0	0	0
X	100000	0	0	0	0
X	200000	0	0	0	0
X	300000	0	0	0	0
X	400000	0	0	0	0
X	500000	0	0	0	0
X	600000	0	0	0	0
X	700000	0	0	0	0
X	800000	0	0	0	0
X	900000	0	0	0	0
X	1000000	0	0	0	0
X	1100000	0	0	0	0
X	1200000	0	0	0	0
X	1300000	0	0	0	0
X	1400000	0	0	0	0
X	1500000	0	0	0	0
X	1600000	0	0	0	0
X	1700000	0	0	0	0
X	1800000	0	0	0	0
X	1900000	0	0	0	0
X	2000000	0	0	0	0
X	2100000	0	0	0	0
X	2200000	0	0	0	0
X	2300000	0	0	0	0
X	2400000	0	0	0	0
X	2500000	0	0	0	0
X	2600000	0	0	0	0
X	2700000	45	48	38	878
X	2800000	46	50	37	890
X	2900000	45	48	14	743
X	3000000	14	17	13	322
X	3100000	39	42	21	946
X	3200000	87	118	24	1298
X	3300000	21	26	40	756
X	3400000	52	56	30	949
X	3500000	65	70	39	847
X	3600000	47	55	31	747
X	3700000	16	32	4	221
X	3800000	42	49	16	444
X	3900000	23	23	32	708
X	4000000	30	35	27	612
X	4100000	15	16	12	203
X	4200000	22	27	42	701
X	4300000	21	22	30	539
X	4400000	24	27	16	635
X	4500000	23	23	19	419
X	4600000	29	34	34	925
X	4700000	29	31	45	797
X	4800000	26	31	24	580
X	4900000	8	9	10	379
X	5000000	16	18	17	471
X	5100000	37	38	31	609
X	5200000	9	10	33	438
X	5300000	38	40	16	524
X	5400000	12	12	21	440
X	5500000	27	36	44	966
X	5600000	24	30	21	575
X	5700000	24	29	36	644
X	5800000	23	44	12	791
X	5900000	10	20	7	570
X	6000000	26	27	5	565
X	6100000	16	25	20	616
X	6200000	26	29	42	720
X	6300000	46	49	29	613
X	6400000	23	28	17	610
X	6500000	29	31	39	1000
X	6600000	38	39	40	741
X	6700000	32	36	25	933
X	6800000	31	34	30	758
X	6900000	21	33	30	489
X	7000000	28	58	19	797
X	7100000	24	31	26	876
X	7200000	25	31	34	849
X	7300000	34	40	47	848
X	7400000	24	30	33	1029
X	7500000	13	13	30	674
X	7600000	9	9	14	225
X	7700000	24	27	10	663
X	7800000	43	83	17	1003
